"participant","experiment","phase","trial_type","trial_num","block_num","category","codename","cued_part","cued_type","part_attempts_total","part_first_attempt_corr","target_hex","target_l","target_a","target_b","color_response_bias","color_response_correct","color_response_type"
1,1,"main","color",33,3,"A","nodon","back","shared",NA,NA,"#AF8877",60,12.10050506,15.10050506,0,1,"target"
1,1,"main","part",34,3,"A","funda","head","shared",7,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",34,3,"B","gavan","tail","shared",NA,NA,"#9A8BAB",60,12.10050506,-15.10050506,0,1,"target"
1,1,"main","part",35,3,"B","motar","leg","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",35,3,"B","motar","tail","unique",NA,NA,"#828DCE",60,12.10050506,-34.89949494,1,0,"attract"
1,1,"main","part",36,3,"B","gavan","tail","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",36,3,"A","nodon","head","unique",NA,NA,"#BC827E",60,22,11,0,1,"target"
1,1,"main","part",37,3,"A","nodon","back","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",37,3,"B","volar","head","shared",NA,NA,"#AA7FCE",60,31.89949494,-34.89949494,1,0,"attract"
1,1,"main","part",38,3,"A","praxa","leg","unique",2,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",38,3,"A","praxa","tail","shared",NA,NA,"#D67667",60,36,25,0,0,"orthogonal"
1,1,"main","part",39,3,"A","nodon","head","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",39,3,"B","sorex","back","shared",NA,NA,"#9287D5",60,22,-39,1,0,"attract"
1,1,"main","part",40,3,"A","denor","leg","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",40,3,"A","funda","head","shared",NA,NA,"#AD8A65",60,8,25,1,0,"attract"
1,1,"main","part",41,3,"B","motar","tail","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",41,3,"B","sorex","head","unique",NA,NA,"#BC7CAC",60,31.89949494,-15.10050506,1,0,"attract"
1,1,"main","part",42,3,"B","volar","back","unique",2,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",42,3,"B","gavan","leg","unique",NA,NA,"#BB7ABD",60,36,-25,1,0,"attract"
1,1,"main","part",43,3,"B","volar","head","shared",2,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",43,3,"A","funda","back","unique",NA,NA,"#B78753",60,12.10050506,34.89949494,1,0,"attract"
1,1,"main","part",44,3,"A","funda","back","unique",3,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",44,3,"A","denor","leg","shared",NA,NA,"#D37955",60,31.89949494,34.89949494,0,1,"target"
1,1,"main","part",45,3,"B","sorex","head","unique",2,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",45,3,"A","denor","tail","unique",NA,NA,"#C6804C",60,22,39,0,0,"orthogonal"
